x_mm,y_mm,z_mm,anchor_5pct,anchor_10pct
-17.650059467027262,171.39694785691324,-233.8012135895216,0,0
-18.5220292210019,175.05801344980324,-232.17612697768087,0,1
-18.34068660118444,173.37013452322643,-233.31072569336328,0,0
-19.320668790046472,168.70176862864415,-242.4935098243915,0,0
-20.17058616860258,168.69200678367952,-244.3239179523904,0,0
-18.49728522791793,168.77569938530067,-240.58190015505787,0,0
-19.763540871954312,170.19095786879365,-241.2088239954596,0,1
-19.0610749089272,170.39976690915967,-239.31545663992875,0,0
-18.92244883304557,171.469265821838,-237.4770525870761,0,0
-18.76793878190396,172.73935996086124,-235.402436316008,0,0
-19.082794524404367,176.18766260802008,-233.16848508875407,0,0
-19.00688446709829,174.57422483437392,-234.1554430032762,0,0
-20.545427010745648,170.074636911601,-243.059999424298,0,0
-21.3684594666608,170.10515244467868,-244.80599794639448,0,0
-20.872116786926536,171.54551745609163,-242.02887606275425,0,0
-20.20338378231264,171.7448789329985,-240.29813859096475,1,0
-19.788598489144608,173.28704869416683,-237.62238274569057,0,0
-19.75615645499312,172.10196555600768,-238.8265985987549,0,0
-19.73850184882622,174.75613520542817,-236.11782870952047,0,0
-19.75981153785994,176.19184818396764,-235.16847821489367,0,1
-20.50528190410645,174.97174475873572,-237.9963935796736,0,0
-21.547118639588007,171.43017164191107,-243.64635246743777,0,0
-22.28637214396165,171.47376052584733,-245.26302622212327,0,0
-21.721206936079287,172.75770400298944,-242.75278399934007,0,0
-21.170501558866416,172.9818659986204,-241.2882127405246,0,0
-20.5989698929906,173.48644890019867,-239.47821537791023,0,0
-20.46290621328986,176.35836515711836,-236.96183995831964,0,0
-21.2377044047564,175.39905258523484,-239.55079892177287,0,1
-22.342449273940627,172.69194216405887,-244.2364858676068,0,1
-22.979220457731405,172.75336244277727,-245.6836013508251,0,0
-23.499533819394635,173.92948902399064,-246.06542454586403,0,0
-22.95142628997174,173.83738960898543,-244.7755478826533,1,0
-21.83164242280715,173.87715659853453,-242.08001237859665,0,0
-22.418421397344705,174.06815148997393,-243.32686719608915,0,0
-21.54130368071429,174.499302026407,-240.9211253872655,0,0
-22.19612190357665,174.99748667530102,-242.15767401415192,0,0
-21.93561514042449,175.86993697416233,-240.9900499194755,0,0
-23.4691358336212,174.89277831597866,-245.3799188125252,0,0
-23.8910619056698,174.99746892996214,-246.4088440662125,0,0
-23.091699642780814,175.028932099687,-244.34557713453952,0,0
-23.49685180155888,175.6878667223261,-245.02389749333588,0,0
-22.76591428806976,175.5815455725568,-243.21315877213937,0,1
-23.28413502470848,176.21614020820763,-244.2206432257856,0,0
-22.54110316720105,176.3148545547552,-242.27076337958945,0,0
-23.80216078309813,175.73447045944332,-245.7996355634863,0,1
-24.185535003573328,175.9599225695461,-246.71595489627245,0,0
-23.731125992231824,176.61935756867618,-245.241045617978,0,0
-23.46124457763236,177.1992997859133,-244.3188922668885,1,0
-23.04056439930912,176.8157207563327,-243.3363593515682,0,1
-24.078794703168715,176.67443576299152,-246.16071145593543,0,0
-24.39823884845888,176.82491161670032,-246.9898512062539,0,1
-23.99786775301116,177.28986856577012,-245.7626339686303,0,1
-23.773391599632014,177.61045481554973,-245.0638659138401,0,0
-24.27236571441788,177.5532959936668,-246.4777630797581,0,0
-24.53734846526209,177.6010400316156,-247.23350403658367,0,0
-24.06661618764288,178.03827013635032,-245.82131033182483,0,0
-24.28440097240769,178.3514350672378,-246.44505568426848,0,0
-24.44876078083735,178.10237599806848,-246.94166215265943,0,1
-24.61189859038414,178.29529745379224,-247.44942440619263,0,0
-24.47055929068908,178.65517536827517,-247.04232968092583,0,0
-24.633500387325075,178.91355718679998,-247.63988588650523,0,0
-24.611645022900003,179.46637434500002,-247.808511386,0,0
-9.828174022263836,194.40416269819968,-231.7073224564697,0,1
-10.347789809558106,194.2331165479841,-231.8750704139537,0,0
-9.857568374472343,194.3256796543461,-232.39652720366897,0,0
-10.53674902737241,194.0941963422761,-232.57813852885693,0,0
-10.98054564781177,193.9691494255113,-231.8850520306237,0,0
-9.914378985587629,194.24215147786583,-233.1803125161016,0,0
-10.000299161786865,194.15300332463207,-234.06798138304669,0,0
-10.66365983443515,193.98191378425287,-233.46102324583143,0,0
